"verbo","rota","arquivo","linha","guards","permissoes","recurso","estado"
"POST","/v1/admin/agenda/blocks","apps/api/src/admin/agenda.controller.ts","229","StaffGuard;PermissaoGuard","'appointments.create'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/agenda/exceptions","apps/api/src/admin/agenda.controller.ts","284","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/agenda/exceptions/:id","apps/api/src/admin/agenda.controller.ts","338","StaffGuard;PermissaoGuard","'appointments.create'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/agenda/appointments/:id/move","apps/api/src/admin/agenda.controller.ts","375","StaffGuard;PermissaoGuard","'appointments.reschedule'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/alertas/preferencias","apps/api/src/admin/alertas.controller.ts","33","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/alertas/preferencias","apps/api/src/admin/alertas.controller.ts","39","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube/planos","apps/api/src/admin/assinatura.controller.ts","128","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube/planos/contados","apps/api/src/admin/assinatura.controller.ts","135","StaffGuard;PermissaoGuard","'finance.view';'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/clube/planos","apps/api/src/admin/assinatura.controller.ts","141","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/clube/planos/:id","apps/api/src/admin/assinatura.controller.ts","168","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube","apps/api/src/admin/assinatura.controller.ts","197","StaffGuard;PermissaoGuard","'finance.view';'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube/clientes/:id","apps/api/src/admin/assinatura.controller.ts","203","StaffGuard;PermissaoGuard","'customers.view';'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/assinar","apps/api/src/admin/assinatura.controller.ts","212","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube/:id/dependentes","apps/api/src/admin/assinatura.controller.ts","249","StaffGuard;PermissaoGuard","'finance.subscription_manage';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/:id/dependentes","apps/api/src/admin/assinatura.controller.ts","262","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/:id/dependentes/remover","apps/api/src/admin/assinatura.controller.ts","281","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/:id/cancelar","apps/api/src/admin/assinatura.controller.ts","300","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube/faturas","apps/api/src/admin/assinatura.controller.ts","330","StaffGuard;PermissaoGuard","'finance.view';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/faturas/:id/pagar","apps/api/src/admin/assinatura.controller.ts","350","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/faturas/:id/cancelar","apps/api/src/admin/assinatura.controller.ts","371","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/clube/:id/cartao","apps/api/src/admin/assinatura.controller.ts","397","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/:id/agendar-cancelamento","apps/api/src/admin/assinatura.controller.ts","423","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube/simulacao","apps/api/src/admin/assinatura.controller.ts","457","StaffGuard;PermissaoGuard","'finance.view';'finance.view_profit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/clube/rentabilidade","apps/api/src/admin/assinatura.controller.ts","477","StaffGuard;PermissaoGuard","'finance.view';'finance.view_profit';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/clube/modelo","apps/api/src/admin/assinatura.controller.ts","502","StaffGuard;PermissaoGuard","'finance.subscription_manage';'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/clube/:id/desfazer-cancelamento","apps/api/src/admin/assinatura.controller.ts","523","StaffGuard;PermissaoGuard","'finance.subscription_manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/automacoes/fila","apps/api/src/admin/automacao.controller.ts","55","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/automacoes","apps/api/src/admin/automacao.controller.ts","64","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PATCH","/v1/admin/automacoes/estado","apps/api/src/admin/automacao.controller.ts","82","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/automacoes","apps/api/src/admin/automacao.controller.ts","101","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/avaliacoes","apps/api/src/admin/avaliacao.controller.ts","86","StaffGuard;PermissaoGuard","'reviews.view';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/avaliacoes/clientes/:id","apps/api/src/admin/avaliacao.controller.ts","93","StaffGuard;PermissaoGuard","'reviews.view';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/avaliacoes/:id/tratar","apps/api/src/admin/avaliacao.controller.ts","110","StaffGuard;PermissaoGuard","'reviews.recover'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/avaliacoes/:id/contestar","apps/api/src/admin/avaliacao.controller.ts","141","StaffGuard;PermissaoGuard","'reviews.contest'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/avaliacoes/:id/retirar-contestacao","apps/api/src/admin/avaliacao.controller.ts","178","StaffGuard;PermissaoGuard","'reviews.contest'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/notifications","apps/api/src/admin/avisos.controller.ts","26","StaffGuard;PermissaoGuard","'settings.manage'","'avisos'","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/notifications","apps/api/src/admin/avisos.controller.ts","35","StaffGuard;PermissaoGuard","'settings.manage'","'avisos'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/day","apps/api/src/admin/board.controller.ts","105","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/appointments/:id/attendance","apps/api/src/admin/board.controller.ts","142","StaffGuard;PermissaoGuard","'appointments.attend'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/catalog","apps/api/src/admin/board.controller.ts","209","StaffGuard;PermissaoGuard","'appointments.create'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers","apps/api/src/admin/board.controller.ts","224","StaffGuard;PermissaoGuard","'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/availability","apps/api/src/admin/board.controller.ts","234","StaffGuard;PermissaoGuard","'appointments.create'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/appointments","apps/api/src/admin/board.controller.ts","276","StaffGuard;PermissaoGuard","'appointments.create'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/cash","apps/api/src/admin/caixa.controller.ts","159","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/cash/open","apps/api/src/admin/caixa.controller.ts","172","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/cash/movements","apps/api/src/admin/caixa.controller.ts","192","StaffGuard;PermissaoGuard","'cashier.withdraw'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/cash/close","apps/api/src/admin/caixa.controller.ts","231","StaffGuard;PermissaoGuard","'cashier.close'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/orders/vendaveis","apps/api/src/admin/caixa.controller.ts","269","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/orders/abertas","apps/api/src/admin/caixa.controller.ts","290","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/orders/:id","apps/api/src/admin/caixa.controller.ts","318","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/orders","apps/api/src/admin/caixa.controller.ts","346","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/orders/:id","apps/api/src/admin/caixa.controller.ts","390","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/orders/:id/items","apps/api/src/admin/caixa.controller.ts","409","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/orders/:id/items/:itemId","apps/api/src/admin/caixa.controller.ts","455","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PATCH","/v1/admin/orders/:id","apps/api/src/admin/caixa.controller.ts","497","StaffGuard;PermissaoGuard","'finance.discount'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/orders/:id/close","apps/api/src/admin/caixa.controller.ts","538","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/debts","apps/api/src/admin/caixa.controller.ts","608","StaffGuard;PermissaoGuard","'cashier.open';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/debts/receive","apps/api/src/admin/caixa.controller.ts","614","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/orders/:id/charges","apps/api/src/admin/caixa.controller.ts","661","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/orders/:id/charges","apps/api/src/admin/caixa.controller.ts","682","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/orders/:id/charges/:chargeId","apps/api/src/admin/caixa.controller.ts","721","StaffGuard;PermissaoGuard","'cashier.open'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/revenue","apps/api/src/admin/caixa.controller.ts","747","StaffGuard;PermissaoGuard","'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/campanhas","apps/api/src/admin/campanha.controller.ts","73","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/campanhas","apps/api/src/admin/campanha.controller.ts","87","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/campanhas/:id/enviar","apps/api/src/admin/campanha.controller.ts","136","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/campanhas/:id/retomar","apps/api/src/admin/campanha.controller.ts","179","StaffGuard;PermissaoGuard","'marketing.send'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/campanhas/:id/pulados","apps/api/src/admin/campanha.controller.ts","210","StaffGuard;PermissaoGuard","'marketing.send';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/catalog/services","apps/api/src/admin/catalogo.controller.ts","80","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/catalog/services","apps/api/src/admin/catalogo.controller.ts","86","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/services/:id","apps/api/src/admin/catalogo.controller.ts","99","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/services/:id/active","apps/api/src/admin/catalogo.controller.ts","121","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/services/:id/resources","apps/api/src/admin/catalogo.controller.ts","136","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/catalog/professionals","apps/api/src/admin/catalogo.controller.ts","160","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/catalog/professionals","apps/api/src/admin/catalogo.controller.ts","167","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/professionals/:id","apps/api/src/admin/catalogo.controller.ts","181","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/professionals/:id/perfil-publico","apps/api/src/admin/catalogo.controller.ts","205","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/professionals/:id/active","apps/api/src/admin/catalogo.controller.ts","226","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/catalog/professionals/:id/schedule","apps/api/src/admin/catalogo.controller.ts","250","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/professionals/:id/schedule","apps/api/src/admin/catalogo.controller.ts","273","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/catalog/resources","apps/api/src/admin/catalogo.controller.ts","300","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/catalog/resources","apps/api/src/admin/catalogo.controller.ts","307","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/chaves","apps/api/src/admin/chaves.controller.ts","55","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/chaves","apps/api/src/admin/chaves.controller.ts","71","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/chaves/:chaveId/revogacao","apps/api/src/admin/chaves.controller.ts","91","StaffGuard;PermissaoGuard","'team.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/churn","apps/api/src/admin/churn.controller.ts","41","StaffGuard;PermissaoGuard","'customers.view';'customers.view_notes';'reviews.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/crescimento","apps/api/src/admin/churn.controller.ts","85","StaffGuard;PermissaoGuard","'finance.view';'reports.finance';'customers.view';'customers.view_notes'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/directory","apps/api/src/admin/clientes.controller.ts","29","StaffGuard;PermissaoGuard","'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/commission/mine","apps/api/src/admin/comissao.controller.ts","113","StaffGuard;PermissaoGuard","'commission.view_own'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/commission/mine/closures","apps/api/src/admin/comissao.controller.ts","131","StaffGuard;PermissaoGuard","'commission.view_own'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/commission","apps/api/src/admin/comissao.controller.ts","143","StaffGuard;PermissaoGuard","'commission.view_all'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/commission/closures","apps/api/src/admin/comissao.controller.ts","153","StaffGuard;PermissaoGuard","'commission.view_all'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/commission/closures","apps/api/src/admin/comissao.controller.ts","172","StaffGuard;PermissaoGuard","'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/commission/rules","apps/api/src/admin/comissao.controller.ts","197","StaffGuard;PermissaoGuard","'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/commission/rules","apps/api/src/admin/comissao.controller.ts","203","StaffGuard;PermissaoGuard","'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/commission/rules/:id","apps/api/src/admin/comissao.controller.ts","234","StaffGuard;PermissaoGuard","'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/commission/settings","apps/api/src/admin/comissao.controller.ts","253","StaffGuard;PermissaoGuard","'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/commission/fees","apps/api/src/admin/comissao.controller.ts","282","StaffGuard;PermissaoGuard","'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/commission/fees","apps/api/src/admin/comissao.controller.ts","288","StaffGuard;PermissaoGuard","'commission.edit_rules'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/dre","apps/api/src/admin/dre.controller.ts","111","StaffGuard;PermissaoGuard","'finance.view_profit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/vales","apps/api/src/admin/dre.controller.ts","138","StaffGuard;PermissaoGuard","'commission.view_all'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/vales/teto/:professionalId","apps/api/src/admin/dre.controller.ts","160","StaffGuard;PermissaoGuard","'finance.advance'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/vales","apps/api/src/admin/dre.controller.ts","177","StaffGuard;PermissaoGuard","'finance.advance'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/vales/:id/cancelar","apps/api/src/admin/dre.controller.ts","214","StaffGuard;PermissaoGuard","'finance.advance'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/comandas/:id/estornar","apps/api/src/admin/dre.controller.ts","237","StaffGuard;PermissaoGuard","'finance.order_refund'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/pacotes/:id/transferir","apps/api/src/admin/dre.controller.ts","261","StaffGuard;PermissaoGuard","'finance.package_transfer'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/estoque/produtos","apps/api/src/admin/estoque.controller.ts","80","StaffGuard;PermissaoGuard","'inventory.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/estoque/produtos","apps/api/src/admin/estoque.controller.ts","108","StaffGuard;PermissaoGuard","'inventory.adjust'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/estoque/produtos/:id","apps/api/src/admin/estoque.controller.ts","139","StaffGuard;PermissaoGuard","'inventory.adjust'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/estoque/produtos/:id/movimentos","apps/api/src/admin/estoque.controller.ts","172","StaffGuard;PermissaoGuard","'inventory.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/estoque/movimentos","apps/api/src/admin/estoque.controller.ts","184","StaffGuard;PermissaoGuard","'inventory.adjust'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/estoque/ficha/:serviceId","apps/api/src/admin/estoque.controller.ts","218","StaffGuard;PermissaoGuard","'inventory.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/estoque/ficha/:serviceId","apps/api/src/admin/estoque.controller.ts","234","StaffGuard;PermissaoGuard","'settings.manage';'inventory.adjust'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/estoque/margem","apps/api/src/admin/estoque.controller.ts","260","StaffGuard;PermissaoGuard","'finance.view_profit'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/:id/ficha","apps/api/src/admin/ficha.controller.ts","78","StaffGuard;PermissaoGuard","'customers.view_notes';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/customers/:id/preferences","apps/api/src/admin/ficha.controller.ts","91","StaffGuard;PermissaoGuard","'customers.edit_notes'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/customers/:id/fotos","apps/api/src/admin/ficha.controller.ts","123","StaffGuard;PermissaoGuard","'customers.view_photos'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/customers/:id/fotos","apps/api/src/admin/ficha.controller.ts","148","StaffGuard;PermissaoGuard","'customers.manage_photos'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/customers/fotos/:fotoId/portfolio","apps/api/src/admin/ficha.controller.ts","172","StaffGuard;PermissaoGuard","'customers.manage_photos'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/customers/fotos/:fotoId","apps/api/src/admin/ficha.controller.ts","200","StaffGuard;PermissaoGuard","'customers.manage_photos'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fidelidade/programa","apps/api/src/admin/fidelidade.controller.ts","65","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/fidelidade/programa","apps/api/src/admin/fidelidade.controller.ts","71","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/fidelidade/clientes/:id","apps/api/src/admin/fidelidade.controller.ts","96","StaffGuard;PermissaoGuard","'customers.view';'finance.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/fidelidade/clientes/:id/ajuste","apps/api/src/admin/fidelidade.controller.ts","108","StaffGuard;PermissaoGuard","'finance.loyalty_adjust'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/queue","apps/api/src/admin/fila.controller.ts","70","StaffGuard;PermissaoGuard","'appointments.view'","'fila'","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/queue/fit","apps/api/src/admin/fila.controller.ts","91","StaffGuard;PermissaoGuard","'appointments.create'","'fila'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/queue","apps/api/src/admin/fila.controller.ts","116","StaffGuard;PermissaoGuard","'appointments.create'","'fila'","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/queue/:id/move","apps/api/src/admin/fila.controller.ts","153","StaffGuard;PermissaoGuard","'appointments.attend'","'fila'","Inventariado; correlacionar com evidências, não implica rota testada"
